Student,ID,SIS User ID,SIS Login ID,Section,March-01 (1139),Sign up for Piazza (1231),Sign up for a GitHub account (1233),Create your TIL blog (1173),Reading: How To Get Startup Ideas (1229),Sign up for Treehouse (1232),Check out the Canvas calendar (1172),First steps & RPS HTML (1196),RPS CSS (1228),Find a domain name that you like (1195),Finalize your domain name (1194),Enable Pushing to GitHub from Gitpod (1180),Link in Bio (1205),Mac tips & tricks (1207),Data model: Yap (1176),Overview of Treehouse's Learn Ruby Track (1210),1: Ruby Basics (1165),2: Ruby Collections (1166),3: Ruby Loops (1167),[Optional] More Ruby basics at Codecademy (1241),4: Ruby Objects and Classes (1168),"[Optional] Codecademy Ruby ""Stretch Goals"" (1240)",Exercism.org (1181),Data model: Todo List (1174),"[Optional] Treehouse Ruby ""Stretch Goals"" (1242)","Final Project Ideas, Round 1 (1193)",Intro to Ruby (1202),Program notes (1226),"Nouns, verbs, and grammar (1208)",String (1235),Integer (1200),Integer Project (1201),Float (1197),Date Project (1178),Date (1177),Array (1171),If statements (1199),Loops (1206),Each (1179),Hash (1198),Our own classes (1209),Ruby Conclusions and Gym (1230),Some more Ruby methods (1234),Data model: Very Best (1175),QR Code Generator 1 (1227),Umbrella (Intro to APIs) (1238),March-02 (1246),March-03 (1248),March-06 (1252),March-07 (1267),March-08 (1271),March-09 (1275),March-10 (1276),March-13 (1279),Reading: Rubber duck debugging (1280),March-14 (1281),March-15 (1282),March-16 (1289),March-17 (1290),Setup a Password Manager (1292),March-20 (1296),March-21 (1297),March-22 (1298),111: Refactoring MSM Queries (1301),March-23 (1302),March-24 (1307),"Part 1: Nouns, Verbs, & Grammar (1215)",Part 2: A few program notes (1216),Part 3: String (1219),Part 4: Integer (1220),Part 5: Float (1221),Part 6: Date (1222),Part 7: Array (1223),Part 8: If statements (1224),Part 9: Loops (1225),Part 10: Each (1211),Part 11: Hash (1212),Part 12: Our own classes (1213),Part 13: Glance over The One Ruby Reference (1214),101: RPS RCAV (1144),102: Fortune Teller (1145),103: Omnicalc 1 (1146),107: Refactoring Fortune Teller with Dynamic Routes (1150),108: Dashboards (1151),109: MSM Queries (1152),110: Classroom Queries Debug (1153),115: Different Ruby Styles (1154),120: MSM Validations (1155),125: Photogram GUI (1156),130: Very Best Debug (1157),135: Build a resource from scratch (1158),140: Reading — draft:resource generator (1159),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Ruby foundations Current Points,Ruby foundations Final Points,Ruby foundations Current Score,Ruby foundations Unposted Current Score,Ruby foundations Final Score,Ruby foundations Unposted Final Score,Ruby enrichment Current Points,Ruby enrichment Final Points,Ruby enrichment Current Score,Ruby enrichment Unposted Current Score,Ruby enrichment Final Score,Ruby enrichment Unposted Final Score,Phase 1: Ruby on Rails Current Points,Phase 1: Ruby on Rails Final Points,Phase 1: Ruby on Rails Current Score,Phase 1: Ruby on Rails Unposted Current Score,Phase 1: Ruby on Rails Final Score,Phase 1: Ruby on Rails Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
Winford Hilpert,520,,marvis@jaskolski.com,PTTL-2022-1-Sample-Cohort,,,,5,,5,,20,0,,,,20,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,70,70,100,100,73.68,73.68,10.2,10.2,85,85,29.14,29.14,0,0,,,,,0,0,,,0,0,80.2,80.2,97.8,97.8,39.12,39.12
Caren Reichel,460,,maya.marquardt@christiansen-christiansen.net,PTTL-2022-1-Sample-Cohort,,,,,,5,,20,0,,,5,20,0,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,70,70,100,100,73.68,73.68,23.33,23.33,93.33,93.33,66.67,66.67,0,0,,,,,0,0,,,0,0,93.33,93.33,98.25,98.25,45.53,45.53
Sage Walter Jr.,422,,jayne.pacocha@turner.net,PTTL-2022-1-Sample-Cohort,,,,,,5,,20,0,,,,20,,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,70,70,100,100,73.68,73.68,26.88,26.88,89.58,89.58,76.79,76.79,0,0,,,,,0,0,,,0,0,96.88,96.88,96.88,96.88,47.26,47.26
Dwana Paucek,454,,louise@pacocha.biz,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,5,,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,60,60,100,100,63.16,63.16,20,20,80,80,57.14,57.14,0,0,,,,,0,0,,,0,0,80,80,94.12,94.12,39.02,39.02
Mandi Schoen,399,,myles.rodriguez@koelpin.name,PTTL-2022-1-Sample-Cohort,,,5,,,5,,20,0,,,5,20,,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,80,80,100,100,84.21,84.21,6,6,85.71,85.71,17.14,17.14,0,0,,,,,0,0,,,0,0,86,86,98.85,98.85,41.95,41.95
Darnell Haley,387,,richelle@rice.name,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,5,20,0,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,85,100,100,89.47,89.47,35,35,100,100,100,100,0,0,,,,,40,40,88.89,88.89,53.33,53.33,160,160,96.97,96.97,78.05,78.05
Graham Towne,355,,sammie@jacobs.biz,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,,20,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,100,100,78.95,78.95,7,7,77.78,77.78,20,20,0,0,,,,,0,0,,,0,0,82,82,97.62,97.62,40,40
Shondra Gerlach,456,,particia.damore@carroll-wehner.biz,PTTL-2022-1-Sample-Cohort,,,,,,5,,20,0,,,,,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,30,30,85.71,85.71,31.58,31.58,0,0,0,0,0,0,0,0,,,,,0,0,,,0,0,30,30,78.95,78.95,14.63,14.63
Coletta Barrows,375,,karri@kuhic-mckenzie.net,PTTL-2022-1-Sample-Cohort,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,0,0
Marleen Heidenreich,343,,kathy@kutch.io,PTTL-2022-1-Sample-Cohort,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,0,0
Jeni Kuhic,518,,alyce@raynor.net,PTTL-2022-1-Sample-Cohort,,,5,,,5,,20,0,,,5,,0,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,55,55,100,100,57.89,57.89,22.5,22.5,90,90,64.29,64.29,0,0,,,,,0,0,,,0,0,77.5,77.5,96.88,96.88,37.8,37.8
Dee Smith,403,,frankie.lehner@dietrich.name,PTTL-2022-1-Sample-Cohort,,,5,,,5,,20,0,,,,20,0,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,50,50,100,100,52.63,52.63,35,35,100,100,100,100,0,0,,,,,0,0,,,0,0,85,85,100,100,41.46,41.46
Anamaria Keebler,522,,jayme_breitenberg@botsford.info,PTTL-2022-1-Sample-Cohort,,,,,,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,0,0
Man Effertz,11,,maida.barrows@reichert-kshlerin.biz,PTTL-2022-1-Sample-Cohort,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelo Kihn,12,,marylynn@heller.org,PTTL-2022-1-Sample-Cohort,,,5,,,5,,,0,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zack Lueilwitz,13,,lance@torp-macgyver.biz,PTTL-2022-1-Sample-Cohort,,,,,,,,20,0,,,5,20,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmundo Nader,14,,simonne.larkin@ohara.io,PTTL-2022-1-Sample-Cohort,,,,5,,,,,0,,,,,,,,,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letisha Botsford,15,,raymon@bahringer.name,PTTL-2022-1-Sample-Cohort,,,,,,,,,0,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Funk,16,,kara_bechtelar@lehner.com,PTTL-2022-1-Sample-Cohort,,,,,,5,,,0,,,,20,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leia Thiel,17,,jordan.lynch@hayes-beahan.info,PTTL-2022-1-Sample-Cohort,,,5,,,,,,0,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozell Jaskolski,18,,max@mueller.io,PTTL-2022-1-Sample-Cohort,,,,,,,,20,0,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evette D'Amore,19,,ella_conroy@balistreri.info,PTTL-2022-1-Sample-Cohort,,,,,,5,,,0,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john s,222,,,PTTL-2022-1-Sample-Cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
