Student,ID,SIS User ID,SIS Login ID,Section,March-01 (1139),Sign up for Piazza (1231),Sign up for a GitHub account (1233),Create your TIL blog (1173),Reading: How To Get Startup Ideas (1229),Sign up for Treehouse (1232),Check out the Canvas calendar (1172),First steps & RPS HTML (1196),RPS CSS (1228),Find a domain name that you like (1195),Finalize your domain name (1194),Enable Pushing to GitHub from Gitpod (1180),Link in Bio (1205),Mac tips & tricks (1207),Data model: Yap (1176),Overview of Treehouse's Learn Ruby Track (1210),1: Ruby Basics (1165),2: Ruby Collections (1166),3: Ruby Loops (1167),[Optional] More Ruby basics at Codecademy (1241),4: Ruby Objects and Classes (1168),"[Optional] Codecademy Ruby ""Stretch Goals"" (1240)",Exercism.org (1181),Data model: Todo List (1174),"[Optional] Treehouse Ruby ""Stretch Goals"" (1242)","Final Project Ideas, Round 1 (1193)",Intro to Ruby (1202),Program notes (1226),"Nouns, verbs, and grammar (1208)",String (1235),Integer (1200),Integer Project (1201),Float (1197),Date Project (1178),Date (1177),Array (1171),If statements (1199),Loops (1206),Each (1179),Hash (1198),Our own classes (1209),Ruby Conclusions and Gym (1230),Some more Ruby methods (1234),Data model: Very Best (1175),QR Code Generator 1 (1227),Umbrella (Intro to APIs) (1238),March-02 (1246),March-03 (1248),March-06 (1252),March-07 (1267),March-08 (1271),March-09 (1275),March-10 (1276),March-13 (1279),Reading: Rubber duck debugging (1280),March-14 (1281),March-15 (1282),March-16 (1289),March-17 (1290),Setup a Password Manager (1292),March-20 (1296),March-21 (1297),March-22 (1298),111: Refactoring MSM Queries (1301),March-23 (1302),March-24 (1307),"Part 1: Nouns, Verbs, & Grammar (1215)",Part 2: A few program notes (1216),Part 3: String (1219),Part 4: Integer (1220),Part 5: Float (1221),Part 6: Date (1222),Part 7: Array (1223),Part 8: If statements (1224),Part 9: Loops (1225),Part 10: Each (1211),Part 11: Hash (1212),Part 12: Our own classes (1213),Part 13: Glance over The One Ruby Reference (1214),101: RPS RCAV (1144),102: Fortune Teller (1145),103: Omnicalc 1 (1146),107: Refactoring Fortune Teller with Dynamic Routes (1150),108: Dashboards (1151),109: MSM Queries (1152),110: Classroom Queries Debug (1153),115: Different Ruby Styles (1154),120: MSM Validations (1155),125: Photogram GUI (1156),130: Very Best Debug (1157),135: Build a resource from scratch (1158),140: Reading — draft:resource generator (1159),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Ruby foundations Current Points,Ruby foundations Final Points,Ruby foundations Current Score,Ruby foundations Unposted Current Score,Ruby foundations Final Score,Ruby foundations Unposted Final Score,Ruby enrichment Current Points,Ruby enrichment Final Points,Ruby enrichment Current Score,Ruby enrichment Unposted Current Score,Ruby enrichment Final Score,Ruby enrichment Unposted Final Score,Phase 1: Ruby on Rails Current Points,Phase 1: Ruby on Rails Final Points,Phase 1: Ruby on Rails Current Score,Phase 1: Ruby on Rails Unposted Current Score,Phase 1: Ruby on Rails Final Score,Phase 1: Ruby on Rails Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
Napoleon Carter,388,,niki@gottlieb-daugherty.co,PTTL-2022-1-Sample-Cohort,,,,,,5.00,,20.00,0.00,,,,20.00,0.00,,,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.00,65.00,100.00,100.00,68.42,68.42,30.00,30.00,85.71,85.71,85.71,85.71,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,95.00,95.00,95.00,95.00,46.34,46.34
Marivel Ullrich II,515,,quinton@bernhard.net,PTTL-2022-1-Sample-Cohort,,,,,,5.00,,20.00,0.00,,,,20.00,0.00,,,5.00,5.00,5.00,,5.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00,70.00,100.00,100.00,73.68,73.68,35.00,35.00,100.00,100.00,100.00,100.00,0.00,0.00,,,,,40.00,40.00,88.89,88.89,53.33,53.33,145.00,145.00,96.67,96.67,70.73,70.73
Micaela Fritsch,391,,jerrie.beer@schoen.net,PTTL-2022-1-Sample-Cohort,,,5.00,5.00,,5.00,,20.00,0.00,,,5.00,20.00,,,,5.00,5.00,5.00,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,80.00,100.00,100.00,84.21,84.21,35.00,35.00,100.00,100.00,100.00,100.00,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,115.00,115.00,100.00,100.00,56.10,56.10
Gina Hayes,516,,tanner@huel.name,PTTL-2022-1-Sample-Cohort,,,5.00,5.00,,5.00,,20.00,0.00,,,,,,,,5.00,5.00,5.00,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.00,55.00,100.00,100.00,57.89,57.89,28.75,28.75,95.83,95.83,82.14,82.14,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,83.75,83.75,98.53,98.53,40.85,40.85
Von Bayer,517,,mikel@harvey.org,PTTL-2022-1-Sample-Cohort,,,5.00,5.00,,5.00,,20.00,0.00,,,5.00,20.00,0.00,,,5.00,5.00,5.00,,5.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,80.00,100.00,100.00,84.21,84.21,35.00,35.00,100.00,100.00,100.00,100.00,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,115.00,115.00,100.00,100.00,56.10,56.10
Winford Hilpert,520,,marvis@jaskolski.com,PTTL-2022-1-Sample-Cohort,,,,5.00,,5.00,,20.00,0.00,,,,20.00,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00,70.00,100.00,100.00,73.68,73.68,10.20,10.20,85.00,85.00,29.14,29.14,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,80.20,80.20,97.80,97.80,39.12,39.12
Caren Reichel,460,,maya.marquardt@christiansen-christiansen.net,PTTL-2022-1-Sample-Cohort,,,,,,5.00,,20.00,0.00,,,5.00,20.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00,70.00,100.00,100.00,73.68,73.68,23.33,23.33,93.33,93.33,66.67,66.67,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,93.33,93.33,98.25,98.25,45.53,45.53
Sage Walter Jr.,422,,jayne.pacocha@turner.net,PTTL-2022-1-Sample-Cohort,,,,,,5.00,,20.00,0.00,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00,70.00,100.00,100.00,73.68,73.68,26.88,26.88,89.58,89.58,76.79,76.79,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,96.88,96.88,96.88,96.88,47.26,47.26
Dwana Paucek,454,,louise@pacocha.biz,PTTL-2022-1-Sample-Cohort,,,5.00,5.00,,5.00,,20.00,0.00,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00,60.00,100.00,100.00,63.16,63.16,20.00,20.00,80.00,80.00,57.14,57.14,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,80.00,80.00,94.12,94.12,39.02,39.02
Mandi Schoen,399,,myles.rodriguez@koelpin.name,PTTL-2022-1-Sample-Cohort,,,5.00,,,5.00,,20.00,0.00,,,5.00,20.00,,,,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,80.00,100.00,100.00,84.21,84.21,6.00,6.00,85.71,85.71,17.14,17.14,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,86.00,86.00,98.85,98.85,41.95,41.95
Darnell Haley,387,,richelle@rice.name,PTTL-2022-1-Sample-Cohort,,,5.00,5.00,,5.00,,20.00,0.00,,,5.00,20.00,0.00,,,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.00,85.00,100.00,100.00,89.47,89.47,35.00,35.00,100.00,100.00,100.00,100.00,0.00,0.00,,,,,40.00,40.00,88.89,88.89,53.33,53.33,160.00,160.00,96.97,96.97,78.05,78.05
Graham Towne,355,,sammie@jacobs.biz,PTTL-2022-1-Sample-Cohort,,,5.00,5.00,,5.00,,20.00,0.00,,,,20.00,,,,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00,75.00,100.00,100.00,78.95,78.95,7.00,7.00,77.78,77.78,20.00,20.00,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,82.00,82.00,97.62,97.62,40.00,40.00
Shondra Gerlach,456,,particia.damore@carroll-wehner.biz,PTTL-2022-1-Sample-Cohort,,,,,,5.00,,20.00,0.00,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30.00,85.71,85.71,31.58,31.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,30.00,30.00,78.95,78.95,14.63,14.63
Coletta Barrows,375,,karri@kuhic-mckenzie.net,PTTL-2022-1-Sample-Cohort,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marleen Heidenreich,343,,kathy@kutch.io,PTTL-2022-1-Sample-Cohort,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeni Kuhic,518,,alyce@raynor.net,PTTL-2022-1-Sample-Cohort,,,5.00,,,5.00,,20.00,0.00,,,5.00,,0.00,,,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.00,55.00,100.00,100.00,57.89,57.89,22.50,22.50,90.00,90.00,64.29,64.29,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,77.50,77.50,96.88,96.88,37.80,37.80
Dee Smith,403,,frankie.lehner@dietrich.name,PTTL-2022-1-Sample-Cohort,,,5.00,,,5.00,,20.00,0.00,,,,20.00,0.00,,,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50.00,100.00,100.00,52.63,52.63,35.00,35.00,100.00,100.00,100.00,100.00,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,85.00,85.00,100.00,100.00,41.46,41.46
Anamaria Keebler,522,,jayme_breitenberg@botsford.info,PTTL-2022-1-Sample-Cohort,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Man Effertz,11,,maida.barrows@reichert-kshlerin.biz,PTTL-2022-1-Sample-Cohort,,,,5.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelo Kihn,12,,marylynn@heller.org,PTTL-2022-1-Sample-Cohort,,,5.00,,,5.00,,,0.00,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zack Lueilwitz,13,,lance@torp-macgyver.biz,PTTL-2022-1-Sample-Cohort,,,,,,,,20.00,0.00,,,5.00,20.00,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmundo Nader,14,,simonne.larkin@ohara.io,PTTL-2022-1-Sample-Cohort,,,,5.00,,,,,0.00,,,,,,,,,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letisha Botsford,15,,raymon@bahringer.name,PTTL-2022-1-Sample-Cohort,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Funk,16,,kara_bechtelar@lehner.com,PTTL-2022-1-Sample-Cohort,,,,,,5.00,,,0.00,,,,20.00,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leia Thiel,17,,jordan.lynch@hayes-beahan.info,PTTL-2022-1-Sample-Cohort,,,5.00,,,,,,0.00,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozell Jaskolski,18,,max@mueller.io,PTTL-2022-1-Sample-Cohort,,,,,,,,20.00,0.00,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evette D'Amore,19,,ella_conroy@balistreri.info,PTTL-2022-1-Sample-Cohort,,,,,,5.00,,,0.00,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
